AREA,SAMTYPE,SEX,S1,S2,S3,S4,S5,S6,Q1,Q2,Q3,Q4,Q5A,Q5B,Q5C,Q5D,Q6,Q7,Q9,Q8,Q10A,Q10B,Q10C,Q10D,Q10E,Q10F,Q10G,Q11A_Africa,Q11B_Europe,Q11C_MiddleEast,Q11D_Mexico,Q11E_CentralSouthAm,Q11F_Cuba,Q11G_Caribbean,Q11H_India,Q11I_China,Q11J_Japan,Q11K_Philippines,Q11L_OtherAsian,Q12,Q12A,Q13,Q13A,Q14A_Africa,Q14B_Europe,Q14C_MiddleEast,Q14D_Mexico,Q14E_CentralSouthAm,Q14F_Cuba,Q14G_Caribbean,Q14H_India,Q14I_China,Q14J_Japan,Q14K_Philippines,Q14L_OtherAsian,Q15a,Q15b,Q15c,Q16a,Q16b,Q16c,Q16d,Q16e,Q16f,Q16g,Q17,Q19,Q21a,Q21b,Q21c,Q21d,Q21e,Q21f,Q21g,Q21h,Q21i,Q22,Q24,Q25,Q26,Q27a,Q27b,Q27c,Q28,Q29,Q30,Q31a,Q31b,Q31c,Q31d,Q31e,Q31f,Q32a,Q32b,Q32c,Q32d,Q32e,Q32f,Q32g,Q32h,D2,D3,D5,D6,D7,D8,D9
201,1,1,2,,,1,,,2,3,1,9,1,4,4,4,3,,17,2,3,3,3,3,3,1,3,7,7,6,7,6,5,7,7,7,8,6,7,2,,2,,5,8,4,4,4,3,5,6,6,4,98,4,4,4,4,2,1,1,3,1,2,2,1,9,2,1,1,1,9,2,,1,1,,1,,,,,,1,1,1,1,1,1,1,1,1,4,4,4,2,2,2,2,4,3,2,7,24,6,5,1
201,1,2,1,,,1,,,3,3,2,3,3,2,3,4,1,1,9,2,3,2,3,3,3,3,3,8,7,8,8,7,7,6,6,8,8,7,8,1,5,1,7,6,7,6,6,6,7,3,6,7,7,7,7,2,2,4,3,1,1,2,3,2,3,1,2,9,9,9,9,9,9,9,9,9,,2,9,,,,,1,1,3,1,1,1,1,1,1,4,4,4,4,1,4,4,4,3,2,3,23,2,5,2
201,1,1,2,,,1,,,1,1,1,1,2,4,1,1,1,1,17,3,3,1,3,3,1,3,1,7,9,7,6,7,8,6,8,7,7,7,8,1,10,1,4,5,8,3,2,3,3,3,4,4,6,5,4,4,4,4,1,1,1,3,3,1,2,1,1,2,1,1,1,1,1,,1,1,,1,,,,,,1,3,2,1,1,1,1,1,1,4,4,4,4,2,3,4,4,1,2,6,21,3,3,1
201,1,2,2,,,2,,,1,1,1,1,1,1,1,1,1,1,17,3,2,1,3,3,1,3,3,5,5,5,5,5,5,5,5,5,6,5,6,8,,8,,5,97,3,3,4,5,3,5,5,5,5,5,4,4,4,3,1,3,3,3,3,3,1,1,9,9,9,9,9,9,,9,9,,1,,,,,,1,1,2,1,1,1,1,1,1,4,4,4,2,3,4,4,4,3,2,4,52,9,5,1
201,1,2,2,,,1,,,1,1,1,2,2,9,9,4,9,,98,,8,8,8,8,8,8,8,5,5,5,5,5,5,5,5,5,5,5,5,8,,8,,1,1,1,1,1,3,3,3,3,2,1,1,3,3,3,1,1,3,3,3,3,1,2,2,2,1,1,1,1,2,,1,1,,2,,,,,,2,3,3,1,1,1,1,1,1,3,1,4,1,1,4,4,4,9,1,3,62,8,5,1
201,1,1,2,,,9,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,4,23,,1,4
201,3,1,1,,4,2,,,2,3,1,1,4,4,4,4,1,1,10,9,3,3,3,2,3,3,3,5,5,5,5,8,6,10,4,5,5,97,5,2,,2,,1,5,1,1,5,1,4,5,1,1,1,1,4,4,4,1,2,2,3,1,2,2,2,1,2,1,1,1,1,2,1,1,1,,1,1,5,1,3,1,1,4,3,1,1,1,1,1,1,4,4,4,4,2,4,4,4,2,1,5,29,3,4,4
201,1,1,2,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,3,19,,5,3
201,1,2,2,,,1,,,2,1,1,9,9,1,1,1,1,1,10,3,3,1,3,1,1,1,8,8,7,8,98,98,98,5,8,5,98,7,98,2,,1,10,98,98,98,98,98,98,98,98,98,97,98,98,4,4,4,3,3,2,9,3,9,3,1,1,9,9,9,9,9,9,,9,9,,1,,,,,,2,4,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,9,2,5,25,5,5,1
201,1,1,2,,,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,9,9,,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,6,36,,5,1
202,1,2,2,,,1,,,2,3,1,2,3,4,4,5,1,1,97,,2,8,3,2,3,2,3,5,97,97,9,5,97,5,97,3,97,5,4,8,,8,,2,10,5,1,6,5,1,98,6,5,97,6,1,2,4,3,1,1,1,1,2,1,2,2,1,1,1,1,1,2,,1,1,,2,,,,,,1,3,3,1,1,9,9,9,9,4,4,4,4,4,4,4,4,2,2,6,50,4,5,2
202,1,2,2,,,1,,,2,2,1,1,1,1,1,4,1,3,9,2,1,3,3,3,1,2,1,5,5,5,5,5,5,5,97,5,5,5,5,1,9,8,,5,10,1,5,5,5,1,5,10,10,5,5,3,3,4,1,1,1,1,1,1,1,2,2,1,1,9,2,2,2,,1,1,,1,,,,,,1,1,3,2,2,2,1,1,1,4,4,4,4,2,4,4,4,2,1,6,52,4,5,2
202,2,1,2,2,,2,,,2,1,2,2,2,2,2,2,3,,12,3,2,2,2,2,2,2,2,1,4,2,2,2,1,3,4,2,5,3,2,1,8,1,12,1,2,3,1,2,1,2,2,2,3,1,1,4,4,4,2,1,1,1,2,1,1,2,2,2,1,1,1,1,2,,2,2,,1,,,,,,3,,3,1,1,1,1,1,1,4,4,4,4,4,4,4,4,2,2,7,74,9,5,2
202,2,2,1,2,,1,,,2,3,2,2,2,4,3,4,3,,3,1,3,2,3,2,1,2,2,8,97,97,7,97,97,7,3,10,10,10,10,1,9,1,3,10,97,2,5,1,1,1,5,6,6,6,5,3,1,4,1,1,1,9,1,1,1,2,2,2,2,1,1,1,2,1,1,1,,1,9,,,,,1,4,3,1,1,1,1,1,1,4,4,4,3,1,4,4,4,2,2,2,35,4,5,2
202,1,2,2,,,2,,,3,3,1,3,4,4,4,4,9,,9,2,3,3,3,3,8,3,3,5,5,97,5,5,5,5,5,5,5,5,5,2,,2,,97,97,97,97,97,97,97,97,97,97,97,97,4,4,4,3,3,3,3,3,3,2,2,9,2,9,9,1,9,2,,9,1,,2,,,,,,1,4,2,1,1,1,1,1,1,4,4,4,4,2,8,3,4,2,1,7,58,7,5,1
202,1,1,2,,,2,,,2,3,1,1,1,1,1,4,9,,4,9,1,8,3,2,3,3,1,2,3,4,5,2,4,2,2,3,4,4,4,2,,1,1,2,5,3,4,2,3,2,3,3,4,3,3,4,4,4,1,2,1,1,2,2,3,2,2,2,2,1,1,2,2,,1,1,,2,,,,,,3,,4,1,1,1,1,1,1,4,4,4,4,2,4,4,4,2,2,7,99,9,5,2
203,1,2,2,,,2,,,1,3,1,1,1,1,1,1,1,2,5,2,1,3,3,3,1,1,3,7,8,7,8,8,8,8,8,9,9,8,9,1,12,1,4,5,7,6,6,6,7,6,7,7,9,7,8,4,4,2,1,2,2,2,1,1,2,2,2,1,2,1,1,1,1,,1,1,,1,,,,,,2,4,1,1,1,1,1,1,1,4,4,4,4,2,4,4,4,1,2,7,45,7,5,1
203,1,2,2,,,1,,,9,2,1,3,2,4,4,4,3,,17,1,3,8,3,2,1,3,3,97,5,5,97,97,97,3,5,8,4,97,4,2,,1,8,7,97,97,97,97,97,7,97,97,97,97,97,3,4,2,1,9,1,2,2,1,2,1,2,2,1,1,1,1,2,,1,1,,1,,,,,,1,1,3,1,1,1,1,1,1,4,4,4,4,2,4,4,4,3,2,6,63,6,5,1
203,1,2,1,,,2,,,1,3,1,1,3,1,1,1,3,,17,3,1,1,1,3,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,2,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,3,2,1,2,3,3,2,1,1,1,2,2,1,2,1,1,1,1,,1,2,,,,,1,1,1,1,1,1,1,1,1,4,4,1,4,4,4,4,4,1,2,6,49,3,5,1
203,3,2,1,,4,3,1,,1,9,1,1,9,9,9,9,1,2,97,,3,1,8,3,1,3,8,98,8,3,10,6,8,10,7,7,6,98,98,1,4,1,4,5,5,98,9,7,6,10,98,5,98,6,8,4,4,4,3,3,3,9,9,1,1,2,2,1,2,1,2,1,1,1,1,1,,1,2,,,,,1,4,2,1,9,9,1,9,1,4,4,4,1,4,4,4,4,9,,2,32,2,4,2
203,1,2,1,,,2,,,1,3,1,1,9,1,1,1,9,,5,2,1,3,3,3,8,3,8,10,10,5,10,10,98,10,10,10,10,10,10,2,,2,,5,5,1,2,3,1,2,3,8,8,5,5,3,3,4,1,2,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,1,,1,1,5,3,3,3,4,,2,1,1,1,1,1,1,4,4,4,4,1,2,4,4,3,2,6,36,7,5,1
205,1,2,1,,,2,,,9,1,3,3,2,3,2,5,1,1,9,3,3,3,3,1,3,1,8,7,8,97,4,97,97,97,2,8,8,10,8,1,11,1,8,8,8,2,6,4,2,9,97,9,9,10,7,4,4,4,1,1,1,2,3,3,3,2,2,2,1,1,1,1,2,1,1,1,,1,2,,,,,1,4,3,1,1,1,1,1,1,4,4,4,3,4,3,4,4,1,2,3,41,7,5,1
205,1,1,1,,,1,,,2,1,2,2,3,3,3,3,1,1,9,2,3,3,2,3,3,2,3,9,1,6,2,97,8,8,7,8,8,8,7,2,,1,96,1,8,1,1,1,1,8,3,3,5,7,3,4,3,4,3,1,3,3,3,2,3,2,1,9,1,1,1,2,2,2,1,1,,2,1,16,3,3,1,1,3,1,1,1,1,1,1,1,4,4,4,4,1,4,4,4,1,2,3,28,4,5,1
205,2,1,2,2,,2,,,1,9,1,1,1,4,4,4,9,,1,3,1,8,2,3,8,8,8,9,5,5,6,8,98,8,9,7,7,98,8,2,,8,,98,98,98,98,98,98,98,98,98,98,98,98,4,4,4,1,2,2,3,1,2,3,2,2,1,1,1,1,2,2,,1,1,,2,,,,,,2,4,2,1,1,1,1,1,1,4,4,4,3,3,4,4,4,3,1,3,23,9,5,2
205,1,2,2,,,2,,,2,3,2,2,4,3,3,2,1,2,4,9,3,3,3,2,3,3,3,10,98,98,4,98,98,98,98,5,4,4,98,2,,1,4,7,5,4,5,5,5,5,5,7,4,4,3,2,3,2,9,9,9,9,9,9,9,2,2,2,1,1,2,2,2,,2,2,,2,,,,,,2,9,3,1,1,1,1,1,1,4,3,2,4,2,3,4,4,2,2,3,19,4,5,1
